SBML_COMPARTMENT	RBA_COMPARTMENT
c	Cytoplasm
h	Plastid
m	Mitochondrion_matrix
l	Thylakoid_lumen
x	Peroxisome
i	Mitochondrion_intermembrane_space
n	Nucleus
g	Golgi_apparatus
v	Vacuole
e	Secreted
r	Endoplasmic_reticulum
c,e	Cell_membrane
c,h	Plastid_membrane
c,n	Nucleus_membrane
c,x	Peroxisome_membrane
c,i	Mitochondrion_outer_membrane
c,m	Mitochondrion_inner_membrane
c,g	Golgi_apparatus_membrane
c,v	Vacuole_membrane
h,l	Thylakoid_membrane
h,e	Thylakoid_membrane
i,m	Mitochondrion_inner_membrane
c,r	Endoplasmic_reticulum_membrane
DEFAULT	Cytoplasm
