ID	NAME	SBML ID	STOICHIOMETRY	CONCENTRATION
ATP	ATP	M_atp	1	0.003
CTP	CTP	M_ctp	1	0.0005
GTP	GTP	M_gtp	1	0.0004
UTP	UTP	M_utp	1	0
ADP	ADP	M_adp	1	0.0026
CDP	CDP	M_cdp	1	0.0003
GDP	GDP	M_gdp	1	0.0002
UDP	UDP	M_udp	1	0
AMP	AMP	M_amp	1	0.0047
CMP	CMP	M_cmp	1	0.001
GMP	GMP	M_gmp	1	0.0005
UMP	UMP	M_ump	1	0
NAD	NAD	M_nad	1	0.0162
NADP	NADP	M_nadp	1	0.0009
NADPH	NADPH	M_nadph	1	0.0002
PPi	Pyrophosphate	M_ppi	1	0.0009
Pi	Phosphate	M_pi	1	0.0144
H	Proton	M_h	1	0
K	Potassium	M_k	1	0.7063
H2O	H2O	M_h2o	1	0
FOR	Formate	M_for	1	0
TRNAALA	Uncharged trna ala	M_trnaala	1	4.802666666666667e-05
TRNACYS	Uncharged trna cys	M_trnacys	1	8.56e-06
TRNAASP	Uncharged trna asp	M_trnaasp	1	2.2533333333333333e-05
TRNAGLU	Uncharged trna glu	M_trnaglu	1	2.46e-05
TRNAPHE	Uncharged trna phe	M_trnaphe	1	1.732e-05
TRNAGLY	Uncharged trna gly	M_trnagly	1	5.726666666666667e-05
TRNAHIS	Uncharged trna his	M_trnahis	1	8.853333333333334e-06
TRNAILE	Uncharged trna ile	M_trnaile	1	2.716e-05
TRNALYS	Uncharged trna lys	M_trnalys	1	3.2080000000000005e-05
TRNALEU	Uncharged trna leu	M_trnaleu	1	4.2119999999999997e-05
TRNAMET	Uncharged trna met	M_trnamet	1	1.4373333333333334e-05
TRNAASN	Uncharged trna asn	M_trnaasn	1	2.2533333333333333e-05
TRNAPRO	Uncharged trna pro	M_trnapro	1	2.0666666666666666e-05
TRNAGLN	Uncharged trna gln	M_trnagln	1	2.46e-05
TRNAARG	Uncharged trna arg	M_trnaarg	1	2.7653333333333332e-05
TRNASER	Uncharged trna ser	M_trnaser	1	2.0173333333333332e-05
TRNATHR	Uncharged trna thr	M_trnathr	1	2.372e-05
TRNAVAL	Uncharged trna val	M_trnaval	1	3.956e-05
TRNATRP	Uncharged trna trp	M_trnatrp	1	5.32e-06
TRNATYR	Uncharged trna tyr	M_trnatyr	1	1.2893333333333332e-05
