UNIPROT NAME;USER ID
Plastid_membrane;Plastid_membrane
Plastid;Plastid
Nucleus;Nucleus
Mitochondrion_outer_membrane;Mitochondrion_outer_membrane
Mitochondrion_matrix;Mitochondrion_matrix
Mitochondrion_intermembrane_space;Mitochondrion_intermembrane_space
Mitochondrion_inner_membrane;Mitochondrion_inner_membrane
Cytoplasm;Cytoplasm
Vacuole_membrane;Vacuole_membrane
Vacuole_lumen;Vacuole
Vacuole;Vacuole
Trans-golgi_network_membrane;Golgi_apparatus_membrane
Trans-golgi_network;Golgi_apparatus
Stromal_side;Cytoplasm
Prevacuolar_compartment_membrane;Vacuole
Plastoglobule;Thylakoid_membrane
Plastid_stroma;Plastid
Peroxisome_membrane;Peroxisome_membrane
Peroxisome_matrix;Peroxisome
Peroxisome;Peroxisome
Nucleus_membrane;Nucleus_membrane
Mitochondrion_membrane;Mitochondrion_inner_membrane
Mitochondrion;Mitochondrion_matrix
Microsome_membrane;Cytoplasm
Membrane;Cell_membrane
Matrix_side;Cytoplasm
Lumenal_side;Cytoplasm
Lipid-anchor;Cytoplasm
Intermembrane_side;Cell_membrane
Golgi_stack_membrane;Golgi_apparatus_membrane
Golgi_stack;Golgi_apparatus
Golgi_apparatus_membrane;Golgi_apparatus_membrane
Golgi_apparatus;Golgi_apparatus
Glyoxysome;Peroxisome
Extracellular_space;Secreted
Endoplasmic_reticulum_membrane;Endoplasmic_reticulum_membrane
Endoplasmic_reticulum;Endoplasmic_reticulum
Endomembrane_system;Cytoplasm
Early_endosome;Cell_membrane
Cytosol;Cytoplasm
Cytoplasmic_side;Cytoplasm
Chromoplast;Plastid
Chloroplast_thylakoid_membrane;Thylakoid_membrane
Chloroplast_thylakoid_lumen;Thylakoid_lumen
Chloroplast_stroma;Plastid
Chloroplast_outer_membrane;Plastid_membrane
Chloroplast_nucleoid;Plastid
Chloroplast_membrane;Plastid_membrane
Chloroplast_inner_membrane;Plastid_membrane
Chloroplast_envelope;Plastid_membrane
Chloroplast;Plastid
Cell_wall;Secreted
Cell_membrane;Cell_membrane
Apoplast;Secreted
Amyloplast;Cytoplasm
Secreted;Secreted
Thylakoid_membrane;Thylakoid_membrane
Thylakoid_lumen;Thylakoid_lumen
