Reaction ID;LB;UB
R_Im_CO2;0.0;7.3865
R_Im_NO3;0.0;1.1428
R_Im_hnu;0.0;92.0
R_Ex_Ala_c;0.0;0.0
R_Ex_Arg_c;0.0;0.0
R_Ex_Asn_c;0.0;0.0
R_Ex_Asp_c;0.0;0.0
R_Ex_Cys_c;0.0;0.0
R_Ex_Gln_c;0.0;0.0
R_Ex_Glu_c;0.0;0.0
R_Ex_Gly_c;0.0;0.0
R_Ex_His_c;0.0;0.0
R_Ex_Ile_c;0.0;0.0
R_Ex_Leu_c;0.0;0.0
R_Ex_Lys_c;0.0;0.0
R_Ex_Met_c;0.0;0.0
R_Ex_Phe_c;0.0;0.0
R_Ex_Pro_c;0.0;0.0
R_Ex_Ser_c;0.0;0.0
R_Ex_Thr_c;0.0;0.0
R_Ex_Trp_c;0.0;0.0
R_Ex_Tyr_c;0.0;0.0
R_Ex_Val_c;0.0;0.0
R_Ex_starch;0.0;0.0
R_Ex_Glc;0.0;0.0
R_Ex_Frc;0.0;0.0
R_Ex_Suc;0.0;0.0
R_Ex_cellulose;0.0;0.0
R_Ex_Mas;0.0;0.0
R_Ex_MACP;0.0;0.0
R_Ex_Tre;0.0;0.0
